Season,GameNumber,GameDate,VTeamCode,HTeamCode
2010,20001,2010-10-07,MTL,TOR
2010,20002,2010-10-07,PHI,PIT
2010,20003,2010-10-07,CAR,MIN
2010,20004,2010-10-07,CHI,COL
2010,20005,2010-10-07,CGY,EDM
2010,20006,2010-10-08,SJ,CBJ
2010,20007,2010-10-08,DAL,NJ
2010,20008,2010-10-08,MIN,CAR
2010,20009,2010-10-08,ANA,DET
2010,20010,2010-10-08,BUF,OTT
2010,20011,2010-10-08,WSH,ATL
2010,20012,2010-10-09,PHX,BOS
2010,20013,2010-10-09,NYR,BUF
2010,20014,2010-10-09,OTT,TOR
2010,20015,2010-10-09,DAL,NYI
2010,20016,2010-10-09,MTL,PIT
2010,20017,2010-10-09,NJ,WSH
2010,20018,2010-10-09,ATL,TB
2010,20019,2010-10-09,PHI,STL
2010,20020,2010-10-09,ANA,NSH
2010,20021,2010-10-09,DET,CHI
2010,20022,2010-10-09,CBJ,SJ
2010,20023,2010-10-09,LA,VAN
2010,20024,2010-10-10,BOS,PHX
2010,20025,2010-10-10,LA,CGY
2010,20026,2010-10-10,FLA,EDM
2010,20027,2010-10-11,PIT,NJ
2010,20028,2010-10-11,NYR,NYI
2010,20029,2010-10-11,ANA,STL
2010,20030,2010-10-11,CHI,BUF
2010,20031,2010-10-11,COL,PHI
2010,20032,2010-10-11,OTT,WSH
2010,20033,2010-10-11,FLA,VAN
2010,20034,2010-10-12,COL,DET
2010,20035,2010-10-12,ATL,LA
2010,20036,2010-10-13,NJ,BUF
2010,20037,2010-10-13,NYI,WSH
2010,20038,2010-10-13,TB,MTL
2010,20039,2010-10-13,TOR,PIT
2010,20040,2010-10-13,NSH,CHI
2010,20041,2010-10-13,VAN,ANA
2010,20042,2010-10-14,TB,PHI
2010,20043,2010-10-14,CAR,OTT
2010,20044,2010-10-14,STL,NSH
2010,20045,2010-10-14,EDM,MIN
2010,20046,2010-10-14,DET,DAL
2010,20047,2010-10-14,FLA,CGY
2010,20048,2010-10-15,COL,NJ
2010,20049,2010-10-15,TOR,NYR
2010,20050,2010-10-15,NYI,PIT
2010,20051,2010-10-15,CHI,CBJ
2010,20052,2010-10-15,MTL,BUF
2010,20053,2010-10-15,ATL,ANA
2010,20054,2010-10-15,VAN,LA
2010,20055,2010-10-16,OTT,MTL
2010,20056,2010-10-16,BOS,NJ
2010,20057,2010-10-16,COL,NYI
2010,20058,2010-10-16,PIT,PHI
2010,20059,2010-10-16,TB,FLA
2010,20060,2010-10-16,WSH,NSH
2010,20061,2010-10-16,CBJ,MIN
2010,20062,2010-10-16,STL,DAL
2010,20063,2010-10-16,BUF,CHI
2010,20064,2010-10-16,DET,PHX
2010,20065,2010-10-16,EDM,CGY
2010,20066,2010-10-16,ATL,SJ
2010,20067,2010-10-17,PHX,ANA
2010,20068,2010-10-17,CAR,VAN
2010,20069,2010-10-18,NYI,TOR
2010,20070,2010-10-18,COL,NYR
2010,20071,2010-10-18,OTT,PIT
2010,20072,2010-10-18,DAL,TB
2010,20073,2010-10-18,STL,CHI
2010,20074,2010-10-19,BOS,WSH
2010,20075,2010-10-19,CGY,NSH
2010,20076,2010-10-19,VAN,MIN
2010,20077,2010-10-19,CAR,SJ
2010,20078,2010-10-20,BUF,ATL
2010,20079,2010-10-20,ANA,CBJ
2010,20080,2010-10-20,VAN,CHI
2010,20081,2010-10-20,CAR,LA
2010,20082,2010-10-21,WSH,BOS
2010,20083,2010-10-21,NYR,TOR
2010,20084,2010-10-21,ANA,PHI
2010,20085,2010-10-21,CGY,DET
2010,20086,2010-10-21,NJ,MTL
2010,20087,2010-10-21,NYI,TB
2010,20088,2010-10-21,DAL,FLA
2010,20089,2010-10-21,PIT,NSH
2010,20090,2010-10-21,SJ,COL
2010,20091,2010-10-21,MIN,EDM
2010,20092,2010-10-21,LA,PHX
2010,20093,2010-10-22,CGY,CBJ
2010,20094,2010-10-22,OTT,BUF
2010,20095,2010-10-22,TB,ATL
2010,20096,2010-10-22,CHI,STL
2010,20097,2010-10-22,MIN,VAN
2010,20098,2010-10-23,NYR,BOS
2010,20099,2010-10-23,MTL,OTT
2010,20100,2010-10-23,BUF,NJ
2010,20101,2010-10-23,TOR,PHI
2010,20102,2010-10-23,ATL,WSH
2010,20103,2010-10-23,NYI,FLA
2010,20104,2010-10-23,ANA,DET
2010,20105,2010-10-23,PIT,STL
2010,20106,2010-10-23,NSH,DAL
2010,20107,2010-10-23,CBJ,CHI
2010,20108,2010-10-23,LA,COL
2010,20109,2010-10-23,CAR,PHX
2010,20110,2010-10-23,SJ,EDM
2010,20111,2010-10-24,NSH,TB
2010,20112,2010-10-24,NJ,NYR
2010,20113,2010-10-24,SJ,CGY
2010,20114,2010-10-25,PHI,CBJ
2010,20115,2010-10-25,PHX,MTL
2010,20116,2010-10-25,LA,MIN
2010,20117,2010-10-26,FLA,TOR
2010,20118,2010-10-26,BUF,PHI
2010,20119,2010-10-26,PHX,OTT
2010,20120,2010-10-26,EDM,CGY
2010,20121,2010-10-26,ANA,DAL
2010,20122,2010-10-26,COL,VAN
2010,20123,2010-10-27,ATL,NYR
2010,20124,2010-10-27,WSH,CAR
2010,20125,2010-10-27,NYI,MTL
2010,20126,2010-10-27,PIT,TB
2010,20127,2010-10-27,LA,CHI
2010,20128,2010-10-27,NJ,SJ
2010,20129,2010-10-28,TOR,BOS
2010,20130,2010-10-28,PHX,DET
2010,20131,2010-10-28,EDM,CBJ
2010,20132,2010-10-28,FLA,OTT
2010,20133,2010-10-28,STL,NSH
2010,20134,2010-10-28,WSH,MIN
2010,20135,2010-10-28,LA,DAL
2010,20136,2010-10-28,COL,CGY
2010,20137,2010-10-29,MTL,NYI
2010,20138,2010-10-29,CAR,NYR
2010,20139,2010-10-29,PHI,PIT
2010,20140,2010-10-29,BUF,ATL
2010,20141,2010-10-29,EDM,CHI
2010,20142,2010-10-29,NJ,ANA
2010,20143,2010-10-30,NYR,TOR
2010,20144,2010-10-30,FLA,MTL
2010,20145,2010-10-30,BOS,OTT
2010,20146,2010-10-30,NYI,PHI
2010,20147,2010-10-30,PIT,CAR
2010,20148,2010-10-30,NSH,DET
2010,20149,2010-10-30,ATL,STL
2010,20150,2010-10-30,CHI,MIN
2010,20151,2010-10-30,BUF,DAL
2010,20152,2010-10-30,CBJ,COL
2010,20153,2010-10-30,TB,PHX
2010,20154,2010-10-30,WSH,CGY
2010,20155,2010-10-30,NJ,LA
2010,20156,2010-10-30,ANA,SJ
2010,20157,2010-11-01,CHI,NYR
2010,20158,2010-11-01,CAR,PHI
2010,20159,2010-11-01,NJ,VAN
2010,20160,2010-11-02,OTT,TOR
2010,20161,2010-11-02,MTL,CBJ
2010,20162,2010-11-02,SJ,MIN
2010,20163,2010-11-02,VAN,EDM
2010,20164,2010-11-03,BOS,BUF
2010,20165,2010-11-03,TOR,WSH
2010,20166,2010-11-03,NYI,CAR
2010,20167,2010-11-03,ATL,FLA
2010,20168,2010-11-03,NJ,CHI
2010,20169,2010-11-03,PIT,DAL
2010,20170,2010-11-03,DET,CGY
2010,20171,2010-11-03,NSH,PHX
2010,20172,2010-11-03,TB,ANA
2010,20173,2010-11-04,NYR,PHI
2010,20174,2010-11-04,CBJ,ATL
2010,20175,2010-11-04,NYI,OTT
2010,20176,2010-11-04,SJ,STL
2010,20177,2010-11-04,VAN,COL
2010,20178,2010-11-04,TB,LA
2010,20179,2010-11-05,NYR,NJ
2010,20180,2010-11-05,BOS,WSH
2010,20181,2010-11-05,MTL,BUF
2010,20182,2010-11-05,CAR,FLA
2010,20183,2010-11-05,CGY,MIN
2010,20184,2010-11-05,PHX,DAL
2010,20185,2010-11-05,DET,EDM
2010,20186,2010-11-05,PIT,ANA
2010,20187,2010-11-06,NSH,LA
2010,20188,2010-11-06,STL,BOS
2010,20189,2010-11-06,BUF,TOR
2010,20190,2010-11-06,OTT,MTL
2010,20191,2010-11-06,PHI,NYI
2010,20192,2010-11-06,FLA,CAR
2010,20193,2010-11-06,CHI,ATL
2010,20194,2010-11-06,MIN,CBJ
2010,20195,2010-11-06,DAL,COL
2010,20196,2010-11-06,PIT,PHX
2010,20197,2010-11-06,DET,VAN
2010,20198,2010-11-06,TB,SJ
2010,20199,2010-11-07,PHI,WSH
2010,20200,2010-11-07,STL,NYR
2010,20201,2010-11-07,EDM,CHI
2010,20202,2010-11-07,NSH,ANA
2010,20203,2010-11-08,PHX,DET
2010,20204,2010-11-09,WSH,NYR
2010,20205,2010-11-09,EDM,CAR
2010,20206,2010-11-09,VAN,MTL
2010,20207,2010-11-09,ATL,OTT
2010,20208,2010-11-09,TOR,TB
2010,20209,2010-11-09,CGY,COL
2010,20210,2010-11-09,ANA,SJ
2010,20211,2010-11-10,BUF,NJ
2010,20212,2010-11-10,BOS,PIT
2010,20213,2010-11-10,STL,CBJ
2010,20214,2010-11-10,TOR,FLA
2010,20215,2010-11-10,PHX,CHI
2010,20216,2010-11-10,NYI,ANA
2010,20217,2010-11-11,MTL,BOS
2010,20218,2010-11-11,BUF,NYR
2010,20219,2010-11-11,TB,WSH
2010,20220,2010-11-11,PHI,CAR
2010,20221,2010-11-11,MIN,ATL
2010,20222,2010-11-11,EDM,DET
2010,20223,2010-11-11,VAN,OTT
2010,20224,2010-11-11,NSH,STL
2010,20225,2010-11-11,DAL,LA
2010,20226,2010-11-11,NYI,SJ
2010,20227,2010-11-12,EDM,NJ
2010,20228,2010-11-12,TB,PIT
2010,20229,2010-11-12,COL,CBJ
2010,20230,2010-11-12,MIN,FLA
2010,20231,2010-11-12,CGY,PHX
2010,20232,2010-11-12,DAL,ANA
2010,20233,2010-11-13,OTT,BOS
2010,20234,2010-11-13,WSH,BUF
2010,20235,2010-11-13,VAN,TOR
2010,20236,2010-11-13,CAR,MTL
2010,20237,2010-11-13,FLA,PHI
2010,20238,2010-11-13,PIT,ATL
2010,20239,2010-11-13,COL,DET
2010,20240,2010-11-13,CHI,NSH
2010,20241,2010-11-13,STL,PHX
2010,20242,2010-11-13,CGY,SJ
2010,20243,2010-11-13,NYI,LA
2010,20244,2010-11-14,EDM,NYR
2010,20245,2010-11-14,ATL,WSH
2010,20246,2010-11-14,MIN,TB
2010,20247,2010-11-14,ANA,CHI
2010,20248,2010-11-15,NJ,BOS
2010,20249,2010-11-15,VAN,BUF
2010,20250,2010-11-15,OTT,PHI
2010,20251,2010-11-15,NYR,PIT
2010,20252,2010-11-15,STL,COL
2010,20253,2010-11-15,LA,SJ
2010,20254,2010-11-16,NSH,TOR
2010,20255,2010-11-16,PHI,MTL
2010,20256,2010-11-16,ANA,DAL
2010,20257,2010-11-17,TB,NYI
2010,20258,2010-11-17,BOS,NYR
2010,20259,2010-11-17,VAN,PIT
2010,20260,2010-11-17,BUF,WSH
2010,20261,2010-11-17,OTT,CAR
2010,20262,2010-11-17,FLA,ATL
2010,20263,2010-11-17,STL,DET
2010,20264,2010-11-17,ANA,MIN
2010,20265,2010-11-17,SJ,COL
2010,20266,2010-11-17,PHX,CGY
2010,20267,2010-11-17,CHI,EDM
2010,20268,2010-11-17,CBJ,LA
2010,20269,2010-11-18,FLA,BOS
2010,20270,2010-11-18,NJ,TOR
2010,20271,2010-11-18,TB,PHI
2010,20272,2010-11-18,NSH,MTL
2010,20273,2010-11-18,SJ,DAL
2010,20274,2010-11-19,CAR,PIT
2010,20275,2010-11-19,MIN,DET
2010,20276,2010-11-19,LA,BUF
2010,20277,2010-11-19,WSH,ATL
2010,20278,2010-11-19,OTT,STL
2010,20279,2010-11-19,NYR,COL
2010,20280,2010-11-19,CHI,CGY
2010,20281,2010-11-19,PHX,EDM
2010,20282,2010-11-19,CBJ,ANA
2010,20283,2010-11-20,LA,BOS
2010,20284,2010-11-20,TB,BUF
2010,20285,2010-11-20,TOR,MTL
2010,20286,2010-11-20,FLA,NYI
2010,20287,2010-11-20,PHI,WSH
2010,20288,2010-11-20,NSH,CAR
2010,20289,2010-11-20,NJ,STL
2010,20290,2010-11-20,NYR,MIN
2010,20291,2010-11-20,COL,DAL
2010,20292,2010-11-20,CHI,VAN
2010,20293,2010-11-20,CBJ,SJ
2010,20294,2010-11-21,NYI,ATL
2010,20295,2010-11-21,CGY,DET
2010,20296,2010-11-21,EDM,ANA
2010,20297,2010-11-21,PHX,VAN
2010,20298,2010-11-22,DAL,TOR
2010,20299,2010-11-22,WSH,NJ
2010,20300,2010-11-22,CGY,NYR
2010,20301,2010-11-22,MTL,PHI
2010,20302,2010-11-22,NSH,CBJ
2010,20303,2010-11-22,LA,OTT
2010,20304,2010-11-22,BOS,TB
2010,20305,2010-11-22,PIT,FLA
2010,20306,2010-11-23,EDM,PHX
2010,20307,2010-11-24,PIT,BUF
2010,20308,2010-11-24,CBJ,NYI
2010,20309,2010-11-24,WSH,CAR
2010,20310,2010-11-24,DET,ATL
2010,20311,2010-11-24,LA,MTL
2010,20312,2010-11-24,DAL,OTT
2010,20313,2010-11-24,CGY,NJ
2010,20314,2010-11-24,NYR,TB
2010,20315,2010-11-24,BOS,FLA
2010,20316,2010-11-24,STL,NSH
2010,20317,2010-11-24,PHI,MIN
2010,20318,2010-11-24,COL,VAN
2010,20319,2010-11-24,CHI,SJ
2010,20320,2010-11-25,COL,EDM
2010,20321,2010-11-26,CAR,BOS
2010,20322,2010-11-26,NJ,NYI
2010,20323,2010-11-26,CGY,PHI
2010,20324,2010-11-26,OTT,PIT
2010,20325,2010-11-26,NSH,MIN
2010,20326,2010-11-26,CHI,ANA
2010,20327,2010-11-26,TB,WSH
2010,20328,2010-11-26,DET,CBJ
2010,20329,2010-11-26,TOR,BUF
2010,20330,2010-11-26,MTL,ATL
2010,20331,2010-11-26,NYR,FLA
2010,20332,2010-11-26,STL,DAL
2010,20333,2010-11-26,SJ,VAN
2010,20334,2010-11-27,PHI,NJ
2010,20335,2010-11-27,CGY,PIT
2010,20336,2010-11-27,BUF,MTL
2010,20337,2010-11-27,TOR,OTT
2010,20338,2010-11-27,FLA,TB
2010,20339,2010-11-27,DAL,STL
2010,20340,2010-11-27,NYR,NSH
2010,20341,2010-11-27,ANA,PHX
2010,20342,2010-11-27,MIN,COL
2010,20343,2010-11-27,SJ,EDM
2010,20344,2010-11-27,CHI,LA
2010,20345,2010-11-28,CAR,WSH
2010,20346,2010-11-28,BOS,ATL
2010,20347,2010-11-28,CBJ,DET
2010,20348,2010-11-29,PIT,NYR
2010,20349,2010-11-29,DAL,CAR
2010,20350,2010-11-29,EDM,OTT
2010,20351,2010-11-29,MIN,CGY
2010,20352,2010-11-29,LA,ANA
2010,20353,2010-11-30,TB,TOR
2010,20354,2010-11-30,PHX,NSH
2010,20355,2010-11-30,STL,CHI
2010,20356,2010-11-30,ATL,COL
2010,20357,2010-11-30,DET,SJ
2010,20358,2010-12-01,EDM,MTL
2010,20359,2010-12-01,BOS,PHI
2010,20360,2010-12-01,NSH,CBJ
2010,20361,2010-12-01,WSH,STL
2010,20362,2010-12-01,PHX,MIN
2010,20363,2010-12-01,VAN,CGY
2010,20364,2010-12-01,FLA,ANA
2010,20365,2010-12-02,TB,BOS
2010,20366,2010-12-02,EDM,TOR
2010,20367,2010-12-02,MTL,NJ
2010,20368,2010-12-02,NYR,NYI
2010,20369,2010-12-02,ATL,PIT
2010,20370,2010-12-02,SJ,OTT
2010,20371,2010-12-02,WSH,DAL
2010,20372,2010-12-02,FLA,LA
2010,20373,2010-12-03,NYI,NYR
2010,20374,2010-12-03,COL,CAR
2010,20375,2010-12-03,CBJ,BUF
2010,20376,2010-12-03,CGY,MIN
2010,20377,2010-12-03,VAN,CHI
2010,20378,2010-12-03,DET,ANA
2010,20379,2010-12-04,NJ,PHI
2010,20380,2010-12-04,SJ,MTL
2010,20381,2010-12-04,BOS,TOR
2010,20382,2010-12-04,BUF,OTT
2010,20383,2010-12-04,ATL,WSH
2010,20384,2010-12-04,PIT,CBJ
2010,20385,2010-12-04,COL,TB
2010,20386,2010-12-04,CAR,NSH
2010,20387,2010-12-04,MIN,DAL
2010,20388,2010-12-04,FLA,PHX
2010,20389,2010-12-04,STL,EDM
2010,20390,2010-12-04,DET,LA
2010,20391,2010-12-05,PHI,NYI
2010,20392,2010-12-05,OTT,NYR
2010,20393,2010-12-05,CGY,CHI
2010,20394,2010-12-05,PHX,ANA
2010,20395,2010-12-05,STL,VAN
2010,20396,2010-12-06,NJ,PIT
2010,20397,2010-12-06,TOR,WSH
2010,20398,2010-12-06,NSH,ATL
2010,20399,2010-12-06,SJ,DET
2010,20400,2010-12-06,DAL,CBJ
2010,20401,2010-12-07,BUF,BOS
2010,20402,2010-12-07,OTT,MTL
2010,20403,2010-12-07,COL,FLA
2010,20404,2010-12-07,TB,CGY
2010,20405,2010-12-07,ANA,EDM
2010,20406,2010-12-08,SJ,PHI
2010,20407,2010-12-08,TOR,PIT
2010,20408,2010-12-08,NSH,DET
2010,20409,2010-12-08,DAL,CHI
2010,20410,2010-12-08,ANA,VAN
2010,20411,2010-12-09,NYI,BOS
2010,20412,2010-12-09,SJ,BUF
2010,20413,2010-12-09,PHI,TOR
2010,20414,2010-12-09,FLA,WSH
2010,20415,2010-12-09,NYR,OTT
2010,20416,2010-12-09,CBJ,STL
2010,20417,2010-12-09,MIN,PHX
2010,20418,2010-12-09,CGY,LA
2010,20419,2010-12-10,MTL,DET
2010,20420,2010-12-10,NJ,OTT
2010,20421,2010-12-10,COL,ATL
2010,20422,2010-12-10,CAR,DAL
2010,20423,2010-12-10,TB,EDM
2010,20424,2010-12-10,CGY,ANA
2010,20425,2010-12-11,PHI,BOS
2010,20426,2010-12-11,PIT,BUF
2010,20427,2010-12-11,MTL,TOR
2010,20428,2010-12-11,DET,NJ
2010,20429,2010-12-11,ATL,NYI
2010,20430,2010-12-11,COL,WSH
2010,20431,2010-12-11,NYR,CBJ
2010,20432,2010-12-11,CAR,STL
2010,20433,2010-12-11,FLA,NSH
2010,20434,2010-12-11,DAL,PHX
2010,20435,2010-12-11,TB,VAN
2010,20436,2010-12-11,MIN,LA
2010,20437,2010-12-11,CHI,SJ
